Name,Distribution,Scatteredness
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 2(5), 1(2) [1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 2, 1, 1, 5]",0.4021484302734303
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"6(1), 1(24), 1(3) [1, 1, 24, 1, 3, 1, 1, 1]",0.8096320346320347
Name,Distribution,Scatteredness
email-univ,"6(1), 1(16), 2(2) [1, 1, 16, 2, 1, 1, 2, 1, 1]",0.7177808302808303
facebook,"7(1), 1(3), 1(4), 2(2), 1(14) [1, 3, 1, 1, 1, 4, 1, 1, 1, 2, 2, 14]",0.5849961670274171
oregon2_010331,"4(1), 1(14), 1(5) [1, 1, 14, 1, 5, 1]",0.7586956521739131
oregon1_010331,"6(1), 1(11), 1(6) [1, 1, 1, 11, 1, 1, 6, 1]",0.6616459627329193
CA-CondMat,"19(1), 1(7), 1(2) [1, 7, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"7(1), 1(16), 1(2) [1, 1, 1, 1, 16, 2, 1, 1, 1]",0.7331587301587301
CA-AstroPh,"5(1), 1(22), 2(2) [1, 22, 1, 2, 1, 1, 2, 1]",0.7919738863287251
Wiki-Vote,"3(1), 1(24) [1, 1, 24, 1]",0.9290123456790123
Cit-HepTh,"1(12), 1(2), 6(1), 2(3) [12, 2, 1, 1, 1, 1, 3, 1, 1, 3]",0.609447496947497
inf-power,"17(1), 2(4), 2(2) [1, 1, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1]",0.30098938062400216
cora,"25(1), 1(3) [1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.20908641843625161
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"1(16), 7(1), 1(2) [16, 1, 1, 1, 1, 1, 2, 1, 1]",0.7331587301587301
Cit-HepPh,"17(1), 2(2), 1(4), 1(3) [1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]",0.2938818585034308
inf-openflights,"2(1), 1(25) [1, 25, 1]",0.9567901234567902
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 1(2), 2(5) [1, 2, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1]",0.4021484302734303
California,"29(1), 1(2) [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"4(1), 1(26), 1(3) [1, 26, 1, 3, 1, 1]",0.8621212121212121
Name,Distribution,Scatteredness
email-univ,"10(1), 1(9), 2(2), 1(3) [1, 1, 1, 1, 9, 1, 2, 1, 2, 3, 1, 1, 1, 1]",0.49364983307291
facebook,"7(1), 1(14), 2(2), 1(3), 1(4) [1, 14, 1, 2, 2, 1, 1, 1, 3, 4, 1, 1]",0.5849961670274171
oregon2_010331,"4(1), 1(3), 1(2), 1(14) [1, 3, 1, 1, 1, 2, 14]",0.7359213250517599
oregon1_010331,"1(15), 8(1) [15, 1, 1, 1, 1, 1, 1, 1, 1]",0.7316942719116633
CA-CondMat,"18(1), 1(8), 1(2) [1, 1, 8, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.39634784489798863
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"7(1), 1(2), 1(3), 1(13) [1, 2, 3, 1, 13, 1, 1, 1, 1, 1]",0.6504920634920635
CA-AstroPh,"6(1), 1(21), 2(2) [1, 1, 21, 1, 2, 1, 1, 2, 1]",0.7633000512032769
Wiki-Vote,"1(24), 3(1) [24, 1, 1, 1]",0.9290123456790123
Cit-HepTh,"6(1), 1(15), 1(3), 1(2) [1, 1, 1, 1, 1, 1, 15, 3, 2]",0.698550061050061
inf-power,"17(1), 2(4), 2(2) [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 2]",0.30098938062400216
cora,"24(1), 1(4) [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.24342707777691094
inf-euroroad,"29(1), 2(2) [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"7(1), 1(16), 1(2) [1, 1, 16, 1, 2, 1, 1, 1, 1]",0.7331587301587301
Cit-HepPh,"17(1), 1(3), 2(2), 1(4) [1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 1, 1]",0.2938818585034308
inf-openflights,"2(1), 1(25) [1, 25, 1]",0.9567901234567902
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 2(2), 1(8) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 8, 2]",0.4646484302734302
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"5(1), 1(3), 1(25) [1, 1, 3, 25, 1, 1, 1]",0.8361471861471862
Name,Distribution,Scatteredness
email-univ,"9(1), 2(2), 1(10), 1(3) [1, 2, 1, 1, 1, 1, 2, 1, 10, 1, 1, 1, 3]",0.5293641187871957
facebook,"7(1), 1(4), 1(14), 1(3), 2(2) [1, 1, 4, 1, 14, 1, 1, 1, 3, 2, 1, 2]",0.5849961670274171
oregon2_010331,"4(1), 1(17), 1(2) [1, 17, 2, 1, 1, 1]",0.8239130434782608
oregon1_010331,"7(1), 1(16) [1, 1, 1, 1, 1, 1, 16, 1]",0.7703416149068323
CA-CondMat,"16(1), 1(10), 1(2) [1, 1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.4641110027927255
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"10(1), 1(15) [1, 1, 1, 1, 1, 1, 1, 15, 1, 1, 1]",0.6807950937950937
CA-AstroPh,"5(1), 1(22), 2(2) [1, 22, 2, 1, 2, 1, 1, 1]",0.7919738863287251
Wiki-Vote,"2(1), 1(25) [1, 1, 25]",0.9567901234567902
Cit-HepTh,"5(1), 1(3), 1(16), 1(2) [1, 1, 1, 1, 3, 1, 16, 2]",0.7327380952380953
inf-power,"18(1), 1(4), 2(2), 1(3) [1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3]",0.2853153994327796
cora,"24(1), 1(4) [1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.24342707777691094
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0.16749227864959151
Email-Enron,"8(1), 1(15), 1(2) [1, 1, 1, 15, 2, 1, 1, 1, 1, 1]",0.6971587301587301
Cit-HepPh,"17(1), 2(2), 1(4), 1(3) [1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1]",0.2938818585034308
inf-openflights,"1(24), 3(1) [24, 1, 1, 1]",0.9290123456790123
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 2(5), 1(2) [1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 2]",0.4021484302734303
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"1(24), 6(1), 1(3) [24, 1, 1, 1, 1, 3, 1, 1]",0.8096320346320347
Name,Distribution,Scatteredness
email-univ,"10(1), 3(2), 1(10) [1, 1, 1, 2, 1, 1, 2, 1, 10, 1, 2, 1, 1, 1]",0.5128806023036793
facebook,"1(4), 7(1), 2(2), 1(3), 1(14) [4, 1, 1, 1, 2, 2, 3, 1, 14, 1, 1, 1]",0.5849961670274171
oregon2_010331,"1(14), 4(1), 1(5) [14, 1, 1, 5, 1, 1]",0.7586956521739131
oregon1_010331,"7(1), 1(9), 1(7) [1, 9, 1, 1, 1, 7, 1, 1, 1]",0.6012594893029676
CA-CondMat,"1(7), 19(1), 1(2) [7, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"7(1), 1(12), 2(3) [1, 1, 1, 1, 1, 12, 1, 3, 3, 1]",0.6238253968253968
CA-AstroPh,"2(2), 5(1), 1(22) [2, 1, 1, 22, 1, 2, 1, 1]",0.7919738863287251
Wiki-Vote,"1(25), 2(1) [25, 1, 1]",0.9567901234567902
Cit-HepTh,"1(15), 6(1), 1(3), 1(2) [15, 1, 1, 1, 3, 1, 1, 2, 1]",0.698550061050061
inf-power,"18(1), 1(4), 2(2), 1(3) [1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1]",0.2853153994327796
cora,"25(1), 1(3) [1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.20908641843625161
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"1(16), 1(2), 7(1) [16, 2, 1, 1, 1, 1, 1, 1, 1]",0.7331587301587301
Cit-HepPh,"17(1), 1(3), 1(4), 2(2) [1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 2, 1, 1, 2, 1, 1, 1]",0.2938818585034308
inf-openflights,"2(1), 1(25) [1, 1, 25]",0.9567901234567902
